animal-cruelty animal-cruelty
arson arson
aggravated-assault assault-offenses
simple-assault assault-offenses
intimidation assault-offenses
bribery bribery
burglary-breaking-and-entering burglary-breaking-and-entering
import-violations commerce-violations
export-violations commerce-violations
federal-liquor-offenses commerce-violations
federal-tobacco-offenses commerce-violations
wildlife-trafficking commerce-violations
counterfeiting-forgery counterfeiting-forgery
destruction-damage-vandalism-of-property destruction-damage-vandalism-of-property
drug-narcotic-violations drug-narcotic-offenses
drug-narcotic-violations drug-narcotic-offenses
embezzlement embezzlement
espionage espionage
extortion-blackmail extortion-blackmail
false-pretenses-swindle-confidence-game fraud-offenses
credit-card-automated-teller-machine-fraud fraud-offenses
impersonation fraud-offenses
welfare-fraud fraud-offenses
wire-fraud fraud-offenses
identity-theft fraud-offenses
hacking-computer-invasion fraud-offenses
money-laundering fraud-offenses
harboring-escapee-concealing-from-arrest fugitive-offenses
flight-to-avoid-prosecution fugitive-offenses
flight-to-avoid-deportation fugitive-offenses
betting-wagering gambling-offenses
operating-promoting-assisting-gambling gambling-offenses
gambling-equipment-violations gambling-offenses
sports-tampering gambling-offenses
murder-and-nonnegligent-manslaughter homicide-offenses
negligent-manslaughter homicide-offenses
justifiable-homicide homicide-offenses
human-trafficking-commercial-sex-acts human-trafficking
human-trafficking-involuntary-servitude human-trafficking
illegal-entry-into-the-united-states immigration-violations
false-citizenship immigration-violations
smuggling-aliens immigration-violations
re-entry-after-deportation immigration-violations
kidnapping-abduction kidnapping-abduction
pocket-picking larceny-theft-offenses
purse-snatching larceny-theft-offenses
shoplifting larceny-theft-offenses
theft-from-building larceny-theft-offenses
theft-from-coin-operated-machine-or-device larceny-theft-offenses
theft-from-motor-vehicle larceny-theft-offenses
theft-of-motor-vehicle-parts-or-accessories larceny-theft-offenses
all-other-larceny larceny-theft-offenses
motor-vehicle-theft motor-vehicle-theft
pornography-obscene-material pornography-obscene-material
prostitution prostitution-offenses
assisting-or-promoting-prostitution prostitution-offenses
purchasing-prostitution prostitution-offenses
robbery robbery
rape sex-offenses
sodomy sex-offenses
sexual-assault-with-an-object sex-offenses
fondling sex-offenses
incest sex-offenses
statutory-rape sex-offenses
failure-to-register-as-a-sex-offender sex-offenses
sex-offenses-non-forcible sex-offenses
stolen-property-offenses stolen-property-offenses
treason treason
weapon-law-violations weapon-law-violations
violation-of-national-firearm-act-of-1934 weapon-law-violations
weapons-of-mass-destruction weapon-law-violations
explosives weapon-law-violations
